cod_cnes,competencia,nome_fantasia,cnpj,tipo_estabelecimento,nivel_atencao,status,telefone,diretor,location
2057190,2026-04-01,USF JARBAS PEREIRA DE ARAUJO ATIBAIA,,001 UNIDADE BASICA DE SAUDE,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE",ATIVO,(11)44151690,SANDRA APARECIDA SOARES,"-23.17,-46.62"
2066335,2026-04-01,UNIDADE DE SAUDE SANTA CLARA,,001 UNIDADE BASICA DE SAUDE,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE",ATIVO,(11)44182059,PATRICIA GARRIDO FERNANDES KRESTAN,"-23.11588816749011,-46.58384046307009"
3558444,2026-04-01,UNIDADE SAUDE DA FAMILIA SAO JOSE ATIBAIA,,001 UNIDADE BASICA DE SAUDE,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE",ATIVO,,ANDREIA FERNANDES COSTA,"-23.12,-46.58"
7842376,2026-04-01,CENTRO DE ESPECIALIDADES ODONTOLOGICAS ATIBAIA,,016 AMBULATORIO,AMBULATORIAL - 02 MEDIA COMPLEXIDADE,ATIVO,,ALEXANDRA PASCHOAL DA SILVA,"-23.113833114758208,-46.54882430522608"
2066327,2026-04-01,LABORATORIO DA PREFEITURA NO ALVINOPOLIS ATIBAIA,,018 UNIDADE DE APOIO DIAGNOSTICO,AMBULATORIAL - 02 MEDIA COMPLEXIDADE,ATIVO,(11)44182079,EDSON VIZGAUDIS,"-23.121,-46.56"
4897013,2026-04-01,URAM PLACA SSR 5I85 MOTOLANCIA,,008 PRONTO ATENDIMENTO,AMBULATORIAL - 02 MEDIA COMPLEXIDADE,ATIVO,1144182040,,"-23.132173542055718,-46.58244597116422"
9818944,2026-04-01,CENTRAL DE DISTRIBUICAO ALMOXARIFADO DA SAUDE,,004 CENTRAL DE ABASTECIMENTO,- 00 NAO SE APLICA,ATIVO,44112374,YANG CHEN PEI,"-23.163831167745535,-46.57274556797261"
2039761,2026-04-01,UNIDADE SAUDE DA FAMILIA DE CAETETUBA ATIBAIA,,001 UNIDADE BASICA DE SAUDE,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE",DESATIVADO,(11)44130844,,"-23.115,-46.58"
2063476,2026-04-01,UBS DONA OLIVIA PAULINI MAZIERO ATIBAIA,,001 UNIDADE BASICA DE SAUDE,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE",DESATIVADO,(11)44142199,,"-23.07,-46.69"
2063492,2026-04-01,USF CARMELINA SILVEIRA CINTRA ATIBAIA,,001 UNIDADE BASICA DE SAUDE,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE",ATIVO,(11)44948170,CLAUDIA BARROSO COELHO,"-23.024732703492326,-46.48761406369287"
6325130,2026-04-01,SECRETARIA MUNICIPAL DA SAUDE DE ATIBAIA,,002 CENTRAL DE GESTAO EM SAUDE,AMBULATORIAL - 02 MEDIA COMPLEXIDADE,ATIVO,11 4414-2022,DANIELE FRANCA DE ALMEIDA BORGES,"-23.113547143961082,-46.542743999909824"
2067315,2026-04-01,UBS DR BENEDITO JOSE BARBOSA,,001 UNIDADE BASICA DE SAUDE,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE",ATIVO,(11)44127509,FERNANDA ANDRADE DOS REIS PEREIRA,"-23.18,-46.58"
7623291,2026-04-01,SAMU 192 ATIBAIA BASICA,,,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE",DESATIVADO,11 4418-2040,,"-23.117,-46.55"
6076688,2026-04-01,USF JOSE FRANCISCO DE FARIA,,001 UNIDADE BASICA DE SAUDE,AMBULATORIAL - 01 ATENCAO BASICA,ATIVO,,VALQUIRIA CANHETE TESSARO,"-23.062102918355844,-46.45324117116515"
7434618,2026-04-01,ACADEMIA DA SAUDE ARMANDO AUGUSTO TRICOLY ATIBAIA,,013 POLO DE PREVENCAO DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE,AMBULATORIAL - 02 MEDIA COMPLEXIDADE,ATIVO,11 44182065,MARCOS ANTONIO DE MOURA,"-23.132150373207104,-46.583659499999996"
3251519,2026-04-01,USF ANA NERY ATIBAIA,,001 UNIDADE BASICA DE SAUDE,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE",ATIVO,(11)4413-0221,THAIS NEVES THOMAZ PEREIRA,"-23.142080137744802,-46.58172545948817"
9237577,2026-04-01,SAMU 192 GDX 4470 ATIBAIA UTI,,,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE",DESATIVADO,,,"-23.117,-46.55"
9065490,2026-04-01,UVZ UNIDADE DE VIGILANCIA EM ZOONOZES ATIBAIA,,021 UNIDADE DE VIGILANCIA DE ZOONOSES,AMBULATORIAL - 02 MEDIA COMPLEXIDADE,ATIVO,,JORGE OSSAMU SHINOHARA TSURUTA,"-23.1289456159886,-46.57017080355593"
4143523,2026-04-01,CENTRO DE ATENCAO PSICOSSOCIAL INFANTOJUVENIL CAPS I,,017 UNIDADE DE ATENCAO PSICOSSOCIAL,AMBULATORIAL - 02 MEDIA COMPLEXIDADE,ATIVO,,SILVIA MARIA DE CAMPOS SIRERA,"-23.117126828111793,-46.552018790060906"
9715878,2026-04-01,AMBULATORIO DE SAUDE MENTAL,,016 AMBULATORIO,AMBULATORIAL - 02 MEDIA COMPLEXIDADE,DESATIVADO,,,"-23.117,-46.55"
7045549,2026-04-01,SAMU 192 AMBULANCIA BASICA ATIBAIA,,008 PRONTO ATENDIMENTO,AMBULATORIAL - 02 MEDIA COMPLEXIDADE,ATIVO,11 9543-1892,ANA PAULA DE LIMA PEREIRA,"-23.132,-46.58"
4371682,2026-04-01,CAPS RESIDENCIA TERAPEUTICA,,016 AMBULATORIO,AMBULATORIAL - 02 MEDIA COMPLEXIDADE,ATIVO,,THAIS MARTINS ORELLANA SEVERO MOLNAR,"-23.108308191145916,-46.556411574721736"
7624182,2026-04-01,SAMU 192 EGI 7747 ATIBAIA BASICA 436,,,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE",DESATIVADO,,,
4795997,2026-04-01,CENTRO ESPECIALIZADO EM REABILITACAO,,016 AMBULATORIO,AMBULATORIAL - 02 MEDIA COMPLEXIDADE,ATIVO,,DANIELA CRISTINA MONFREDINI,"-23.1136974743608,-46.55296810296776"
7073194,2026-04-01,UPA PORTE II 24HS JD CEREJEIRAS ATIBAIA,,008 PRONTO ATENDIMENTO,AMBULATORIAL - 02 MEDIA COMPLEXIDADE,ATIVO,11 4412-2969,MIRIANNE VILLAS BOAS ANTUNES PACE,"-23.132124776391105,-46.58244354233023"
2039737,2026-04-01,UBS ANTONIO DE PADUA ALONSO ATIBAIA,,001 UNIDADE BASICA DE SAUDE,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE",ATIVO,1144128412,FERNANDA DOS SANTOS GOUVEIA OLIVEIRA,"-23.1228086,-46.567419"
2057182,2026-04-01,USF FARMACEUTICO POMPEU VAIRO ATIBAIA,,001 UNIDADE BASICA DE SAUDE,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE",ATIVO,(11)44164811,ARLETE SAYURI NISHIMURA,"-23.042484913896786,-46.64351316122809"
2066629,2026-04-01,UBS OSWALDO PACCINI ATIBAIA,,001 UNIDADE BASICA DE SAUDE,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE",ATIVO,(11)44146500,ROSANGELA BARBOSA ALVES,"-23.113813897616804,-46.5488363458866"
7050909,2026-04-01,SAMU 192 AMBULANCIA UTI ATIBAIA,,008 PRONTO ATENDIMENTO,AMBULATORIAL - 02 MEDIA COMPLEXIDADE,ATIVO,11 9543-1892,VIVIANE APARECIDA DE CASTRO,"-23.132402274884484,-46.58200987656509"
2066343,2026-04-01,UBS HELIO BACCI,,001 UNIDADE BASICA DE SAUDE,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE",ATIVO,(11)44161337,ADRIANA MARIA BRAVO DE QUEIROZ,"-23.047,-46.56"
4254694,2026-04-01,CASAMAR CASA DE ATENCAO A SAUDE DA MULHER E BANCO DE LEITE,,016 AMBULATORIO,AMBULATORIAL - 02 MEDIA COMPLEXIDADE,ATIVO,1144116787,,"-23.11338016187051,-46.5409523612262"
4899938,2026-04-01,URAM PLACA SWV 4I72 MOTOLANCIA,,008 PRONTO ATENDIMENTO,AMBULATORIAL - 02 MEDIA COMPLEXIDADE,ATIVO,1144182040,,"-23.13218340830398,-46.58242451349262"
7624212,2026-04-01,AMBULANCIA BASICA DSO 4647 ATIBAIA 430,,,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE",DESATIVADO,,,
2067404,2026-04-01,UBS DR HERCONIDES MARTINS DE OLIVEIRA ATIBAIA,,001 UNIDADE BASICA DE SAUDE,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE",ATIVO,(11)44164861,SEFORA CARNEIRO BONILLO,"-23.090278220831173,-46.642271784919764"
2066300,2026-04-01,USF MARIA DAS DORES BORGES BOLDRIN ATIBAIA,,001 UNIDADE BASICA DE SAUDE,AMBULATORIAL - 01 ATENCAO BASICA,ATIVO,(11)44142199,VALERIA BONAMICO,"-23.219,-46.66"
4057716,2026-04-01,CENTRO DE ATENCAO PSICOSSOCIAL ALCOOL E DROGAS ATIBAIA,,016 AMBULATORIO,AMBULATORIAL - 02 MEDIA COMPLEXIDADE,ATIVO,,ANAMARIA DA SILVA RIBEIRO,"-23.11484285097777,-46.549489751001325"
6130208,2026-04-01,CAPS CENTRO DE ATENCAO PSICOSSOCIAL ATIBAIA,,017 UNIDADE DE ATENCAO PSICOSSOCIAL,AMBULATORIAL - 02 MEDIA COMPLEXIDADE,ATIVO,11 4412-3606,ANA PAULA NAGAOKA IZUMI,"-23.12892545007107,-46.557986861225714"
7352522,2026-04-01,UBS ANA CECILIA BATISTA DE SA ATIBAIA,,001 UNIDADE BASICA DE SAUDE,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE",ATIVO,1144116871,JULIMARA OLIVEIRA SANTOS DA SILVA,"-23.13303217569322,-46.56480925766976"
6983871,2026-04-01,UNIDADE DE SAUDE DA FAMILIA ITAPETINGA ATIBAIA,,001 UNIDADE BASICA DE SAUDE,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE",ATIVO,11 4412-3919,CRISTINA APARECIDA SANTOS MOREIRA,"-23.148,-46.54"
7623240,2026-04-01,SAMU 192 EGI 7780 ATIBAIA BASICA 454 4X4,,,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE",DESATIVADO,11 44182040,,
6646816,2026-04-01,ODONTOMOVEL ATIBAIA,,,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE",DESATIVADO,11 4414-2220,,
2074796,2026-04-01,USF MAJUCA MACEDO ATIBAIA,,001 UNIDADE BASICA DE SAUDE,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE",ATIVO,(11)44166960,VALERIA BARBOSA CASEMIRO DA SILVA,"-23.21674472895791,-46.59395437656273"
4038460,2026-04-01,DEPARTAMENTO DE VIGILANCIA EM SAUDE,,002 CENTRAL DE GESTAO EM SAUDE,AMBULATORIAL - 02 MEDIA COMPLEXIDADE,ATIVO,1144112656,CARLOS GARCIA LOUZADA,"-23.11295635133003,-46.542965257669756"
9471138,2026-04-01,POLICLINICA DO POSTO DO CENTRO ATIBAIA,,001 UNIDADE BASICA DE SAUDE,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE",ATIVO,11 4414-6503,PAULA MUNIZ LUCENA DE ALMEIDA,"-23.113710432686133,-46.54874471889586"
4435656,2026-04-01,COMPLEXO ESPECIALIZADO DA ASSISTENCIA FARMACEUTICA,,009 FARMACIA,AMBULATORIAL - 02 MEDIA COMPLEXIDADE,ATIVO,,SHEILE MIRIAN BASTOS JUNQUEIRA,"-23.116110432898363,-46.56023946122613"
2039753,2026-04-01,USF PEDRO MATURANA ATIBAIA,,001 UNIDADE BASICA DE SAUDE,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE",ATIVO,(11)44182065,RAQUEL DE CARVALHO COSTA LIMA,"-23.132125924315442,-46.583756158795254"
4899911,2026-04-01,RESIDENCIA TERAPEUTICA II,,016 AMBULATORIO,AMBULATORIAL - 02 MEDIA COMPLEXIDADE,ATIVO,1151961341,,"-23.10851190247265,-46.51129395767158"
2039745,2026-04-01,SERVICO DE ATENCAO ESPECIALIZADA ATIBAIA,,001 UNIDADE BASICA DE SAUDE,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE",ATIVO,(11)44182077,DENISE CRISTIAN QUIRINO DE OLIVEIRA CHINEN,"-22.81668859331506,-45.19201684589524"
6588395,2026-04-01,APAE ATIBAIA,47.952.825/0001-70,016 AMBULATORIO,"AMBULATORIAL - 02 MEDIA COMPLEXIDADE, AMBULATORIAL - 04 ALTA COMPLEXIDADE",ATIVO,11 4414-6800,ELIDO JOSE MORINA,"-23.126025858304697,-46.558659465481604"
7073194,2026-04-01,UPA PORTE II 24HS JD CEREJEIRAS ATIBAIA,,008 PRONTO ATENDIMENTO,AMBULATORIAL - 02 MEDIA COMPLEXIDADE,ATIVO,11 4412-2969,MIRIANNE VILLAS BOAS ANTUNES PACE,"-23.132124776391105,-46.58244354233023"
5366828,2026-04-01,SANTA CASA DE ATIBAIA,44.510.485/0001-39,006 HOSPITAL,"AMBULATORIAL - 02 MEDIA COMPLEXIDADE, AMBULATORIAL - 04 ALTA COMPLEXIDADE, HOSPITALAR - 05 MEDIA COMPLEXIDADE, HOSPITALAR - 06 ALTA COMPLEXIDADE",ATIVO,11 44123059,MICHELI NERY DOS SANTOS,"-23.11492677147978,-46.550274147730605"
